1,TOY STORY (1995),ADVENTURE|ANIMATION|CHILDREN|COMEDY|FANTASY
2,JUMANJI (1995),ADVENTURE|CHILDREN|FANTASY
3,GRUMPIER OLD MEN (1995),COMEDY|ROMANCE
4,WAITING TO EXHALE (1995),COMEDY|DRAMA|ROMANCE
5,FATHER OF THE BRIDE PART II (1995),COMEDY
6,HEAT (1995),ACTION|CRIME|THRILLER
7,SABRINA (1995),COMEDY|ROMANCE
8,TOM AND HUCK (1995),ADVENTURE|CHILDREN
9,SUDDEN DEATH (1995),ACTION
10,GOLDENEYE (1995),ACTION|ADVENTURE|THRILLER
11,DRACULA: DEAD AND LOVING IT (1995),COMEDY|HORROR
12,BALTO (1995),ADVENTURE|ANIMATION|CHILDREN
13,NIXON (1995),DRAMA
14,CUTTHROAT ISLAND (1995),ACTION|ADVENTURE|ROMANCE
15,CASINO (1995),CRIME|DRAMA
16,SENSE AND SENSIBILITY (1995),DRAMA|ROMANCE
17,FOUR ROOMS (1995),COMEDY
18,ACE VENTURA: WHEN NATURE CALLS (1995),COMEDY
19,MONEY TRAIN (1995),ACTION|COMEDY|CRIME|DRAMA|THRILLER
20,GET SHORTY (1995),COMEDY|CRIME|THRILLER
21,COPYCAT (1995),CRIME|DRAMA|HORROR|MYSTERY|THRILLER
22,ASSASSINS (1995),ACTION|CRIME|THRILLER
23,POWDER (1995),DRAMA|SCI-FI
24,LEAVING LAS VEGAS (1995),DRAMA|ROMANCE
25,OTHELLO (1995),DRAMA
26,NOW AND THEN (1995),CHILDREN|DRAMA
27,PERSUASION (1995),DRAMA|ROMANCE
